positionid,attack,defense,money,rarity,attack_percentile,defense_percentile,money_percentile,total_score_rank
295,11,11,24,good,0.36005,0.48005,0.93505,1806.0
296,11,11,25,good,0.36005,0.48005,0.94505,1606.0
297,11,11,26,good,0.36005,0.48005,0.95505,1503.0
298,11,11,27,good,0.36005,0.48005,0.96505,1306.0
299,11,11,28,good,0.36005,0.48005,0.97505,1203.0
300,11,11,29,good,0.36005,0.48005,0.98505,1007.0
301,11,11,30,legendary,0.36005,0.48005,0.99505,904.0
302,11,11,11,bad,0.36005,0.48005,0.05505,9613.0
303,11,11,11,bad,0.36005,0.48005,0.05505,9614.0
304,11,11,11,bad,0.36005,0.48005,0.05505,9615.0
305,11,11,11,bad,0.36005,0.48005,0.05505,9616.0
306,16,11,11,good,0.77005,0.48005,0.05505,7304.0
307,17,11,11,good,0.79505,0.48005,0.05505,7204.0
308,18,11,11,good,0.82005,0.48005,0.05505,7004.0
309,19,11,11,good,0.84005,0.48005,0.05505,6804.0
310,20,11,11,good,0.86005,0.48005,0.05505,6704.0
311,21,11,11,good,0.88005,0.48005,0.05505,6504.0
312,22,11,12,good,0.90005,0.48005,0.16505,5304.0
313,23,11,12,good,0.92505,0.48005,0.16505,4207.0
314,24,11,12,good,0.95005,0.48005,0.16505,4004.0
315,25,11,12,good,0.97005,0.48005,0.16505,3904.0
316,11,11,12,bad,0.36005,0.48005,0.16505,8919.0
317,11,11,12,bad,0.36005,0.48005,0.16505,8920.0
318,11,11,12,bad,0.36005,0.48005,0.16505,8921.0
319,11,11,12,bad,0.36005,0.48005,0.16505,8922.0
320,11,11,12,bad,0.36005,0.48005,0.16505,8923.0
321,11,11,12,bad,0.36005,0.48005,0.16505,8924.0
322,11,11,13,bad,0.36005,0.48005,0.27505,8319.0
323,11,11,13,bad,0.36005,0.48005,0.27505,8320.0
324,11,17,13,rare,0.36005,0.78005,0.27505,6604.0
325,11,23,13,rare,0.36005,0.85005,0.27505,5804.0
326,11,29,13,rare,0.36005,0.92005,0.27505,4504.0
327,11,35,13,legendary,0.36005,0.99005,0.27505,3804.0
328,11,11,13,bad,0.36005,0.48005,0.27505,8321.0
329,11,11,13,bad,0.36005,0.48005,0.27505,8322.0
330,11,11,13,bad,0.36005,0.48005,0.27505,8323.0
331,11,11,13,bad,0.36005,0.48005,0.27505,8324.0
332,11,11,14,normal,0.36005,0.48005,0.38505,7519.0
333,11,11,14,normal,0.36005,0.48005,0.38505,7520.0
334,11,11,14,normal,0.36005,0.48005,0.38505,7521.0
335,11,11,14,normal,0.36005,0.48005,0.38505,7522.0
336,11,11,14,normal,0.36005,0.48005,0.38505,7523.0
337,11,11,14,normal,0.36005,0.48005,0.38505,7524.0
338,11,16,14,rare,0.36005,0.76505,0.38505,5704.0
339,11,17,14,rare,0.36005,0.78005,0.38505,5604.0
340,11,18,14,rare,0.36005,0.79505,0.38505,5404.0
341,11,19,14,rare,0.36005,0.80505,0.38505,5107.0
342,11,20,15,rare,0.36005,0.81505,0.49505,3604.0
343,11,21,15,rare,0.36005,0.82505,0.49505,3504.0
344,11,22,15,rare,0.36005,0.83505,0.49505,3404.0
345,11,23,15,rare,0.36005,0.85005,0.49505,3304.0
346,11,24,15,rare,0.36005,0.86505,0.49505,3107.0
347,11,25,15,rare,0.36005,0.87505,0.49505,2904.0
348,11,26,15,rare,0.36005,0.88505,0.49505,2704.0
349,11,27,15,rare,0.36005,0.89505,0.49505,2404.0
350,11,28,15,rare,0.36005,0.90505,0.49505,2204.0
351,11,29,15,rare,0.36005,0.92005,0.49505,1807.0
352,11,30,16,rare,0.36005,0.93505,0.60505,504.0
353,11,31,16,rare,0.36005,0.94505,0.60505,404.0
354,11,32,16,rare,0.36005,0.95505,0.60505,304.0
355,11,33,16,rare,0.36005,0.96505,0.60505,204.0
356,11,34,16,rare,0.36005,0.97505,0.60505,104.0
357,11,35,16,legendary,0.36005,0.99005,0.60505,4.0
358,11,11,16,normal,0.36005,0.48005,0.60505,6016.0
359,11,11,16,normal,0.36005,0.48005,0.60505,6017.0
360,11,11,16,normal,0.36005,0.48005,0.60505,6018.0
361,11,11,16,normal,0.36005,0.48005,0.60505,6019.0
362,11,11,17,normal,0.36005,0.48005,0.71505,4616.0
363,11,11,17,normal,0.36005,0.48005,0.71505,4617.0
364,11,11,17,normal,0.36005,0.48005,0.71505,4618.0
365,11,11,17,normal,0.36005,0.48005,0.71505,4619.0
366,11,1,17,normal,0.36005,0.10005,0.71505,8204.0
367,12,1,17,normal,0.72505,0.10005,0.71505,5504.0
368,13,1,17,normal,0.73505,0.10005,0.71505,5108.0
369,14,1,17,normal,0.74505,0.10005,0.71505,4404.0
370,15,1,17,good,0.75505,0.10005,0.71505,4208.0
371,16,1,17,good,0.77005,0.10005,0.71505,4104.0
372,17,1,18,good,0.79505,0.10005,0.82505,3108.0
373,18,1,18,good,0.82005,0.10005,0.82505,2604.0
374,19,1,18,good,0.84005,0.10005,0.82505,2104.0
375,20,1,18,good,0.86005,0.10005,0.82505,1607.0
376,21,1,18,good,0.88005,0.10005,0.82505,1307.0
377,22,1,18,good,0.90005,0.10005,0.82505,1008.0
378,23,1,18,good,0.92505,0.10005,0.82505,804.0
379,24,1,18,good,0.95005,0.10005,0.82505,704.0
380,25,1,18,good,0.97005,0.10005,0.82505,604.0
381,11,1,18,good,0.36005,0.10005,0.82505,7404.0
382,17,1,11,good,0.79505,0.10005,0.05505,9504.0
383,23,1,12,good,0.92505,0.10005,0.16505,8104.0
384,29,1,13,good,0.98505,0.10005,0.27505,6904.0
385,35,1,14,legendary,0.99505,0.10005,0.38505,5904.0
386,11,11,15,normal,0.36005,0.48005,0.49505,7104.0
387,11,11,16,normal,0.36005,0.48005,0.60505,6020.0
388,11,11,17,normal,0.36005,0.48005,0.71505,4620.0
389,11,11,18,good,0.36005,0.48005,0.82505,3704.0
390,11,11,19,good,0.36005,0.48005,0.88505,3004.0
391,11,11,20,good,0.36005,0.48005,0.89505,2804.0
392,11,11,21,good,0.36005,0.48005,0.90505,2504.0
393,11,11,22,good,0.36005,0.48005,0.91505,2304.0
394,11,11,23,good,0.36005,0.48005,0.92505,2004.0
395,11,11,24,good,0.36005,0.48005,0.93505,1808.0
396,11,11,25,good,0.36005,0.48005,0.94505,1608.0
397,11,11,26,good,0.36005,0.48005,0.95505,1504.0
398,11,11,27,good,0.36005,0.48005,0.96505,1308.0
399,11,11,28,good,0.36005,0.48005,0.97505,1204.0
400,11,11,29,good,0.36005,0.48005,0.98505,1009.0
401,11,11,30,legendary,0.36005,0.48005,0.99505,905.0
402,11,11,11,bad,0.36005,0.48005,0.05505,9617.0
403,11,11,11,bad,0.36005,0.48005,0.05505,9618.0
404,11,11,11,bad,0.36005,0.48005,0.05505,9619.0
405,11,11,11,bad,0.36005,0.48005,0.05505,9620.0
406,16,11,11,good,0.77005,0.48005,0.05505,7305.0
407,17,11,11,good,0.79505,0.48005,0.05505,7205.0
408,18,11,11,good,0.82005,0.48005,0.05505,7005.0
409,19,11,11,good,0.84005,0.48005,0.05505,6805.0
410,20,11,11,good,0.86005,0.48005,0.05505,6705.0
411,21,11,11,good,0.88005,0.48005,0.05505,6505.0
412,22,11,12,good,0.90005,0.48005,0.16505,5305.0
413,23,11,12,good,0.92505,0.48005,0.16505,4209.0
414,24,11,12,good,0.95005,0.48005,0.16505,4005.0
415,25,11,12,good,0.97005,0.48005,0.16505,3905.0
416,11,11,12,bad,0.36005,0.48005,0.16505,8925.0
417,11,11,12,bad,0.36005,0.48005,0.16505,8926.0
418,11,11,12,bad,0.36005,0.48005,0.16505,8927.0
419,11,11,12,bad,0.36005,0.48005,0.16505,8928.0
420,11,11,12,bad,0.36005,0.48005,0.16505,8929.0
421,11,11,12,bad,0.36005,0.48005,0.16505,8930.0
422,11,11,13,bad,0.36005,0.48005,0.27505,8325.0
423,11,11,13,bad,0.36005,0.48005,0.27505,8326.0
424,11,17,13,rare,0.36005,0.78005,0.27505,6605.0
425,11,23,13,rare,0.36005,0.85005,0.27505,5805.0
426,11,29,13,rare,0.36005,0.92005,0.27505,4505.0
427,11,35,13,legendary,0.36005,0.99005,0.27505,3805.0
428,11,11,13,bad,0.36005,0.48005,0.27505,8327.0
429,11,11,13,bad,0.36005,0.48005,0.27505,8328.0
430,11,11,13,bad,0.36005,0.48005,0.27505,8329.0
431,11,11,13,bad,0.36005,0.48005,0.27505,8330.0
432,11,11,14,normal,0.36005,0.48005,0.38505,7525.0
433,11,11,14,normal,0.36005,0.48005,0.38505,7526.0
434,11,11,14,normal,0.36005,0.48005,0.38505,7527.0
435,11,11,14,normal,0.36005,0.48005,0.38505,7528.0
436,11,11,14,normal,0.36005,0.48005,0.38505,7529.0
437,11,11,14,normal,0.36005,0.48005,0.38505,7530.0
438,11,16,14,rare,0.36005,0.76505,0.38505,5705.0
439,11,17,14,rare,0.36005,0.78005,0.38505,5605.0
440,11,18,14,rare,0.36005,0.79505,0.38505,5405.0
441,11,19,14,rare,0.36005,0.80505,0.38505,5109.0
442,11,20,15,rare,0.36005,0.81505,0.49505,3605.0
443,11,21,15,rare,0.36005,0.82505,0.49505,3505.0
444,11,22,15,rare,0.36005,0.83505,0.49505,3405.0
445,11,23,15,rare,0.36005,0.85005,0.49505,3305.0
446,11,24,15,rare,0.36005,0.86505,0.49505,3109.0
447,11,25,15,rare,0.36005,0.87505,0.49505,2905.0
448,11,26,15,rare,0.36005,0.88505,0.49505,2705.0
449,11,27,15,rare,0.36005,0.89505,0.49505,2405.0
450,11,28,15,rare,0.36005,0.90505,0.49505,2205.0
451,11,29,15,rare,0.36005,0.92005,0.49505,1809.0
452,11,30,16,rare,0.36005,0.93505,0.60505,505.0
453,11,31,16,rare,0.36005,0.94505,0.60505,405.0
