,positionid,attack,defense,money,rarity,attack_percentile,defense_percentile,money_percentile,total_score_rank
5157,5157,11,35,16,legendary,0.36005,0.99005,0.60505,52.0
5257,5257,11,35,16,legendary,0.36005,0.99005,0.60505,53.0
5357,5357,11,35,16,legendary,0.36005,0.99005,0.60505,54.0
5457,5457,11,35,16,legendary,0.36005,0.99005,0.60505,55.0
5557,5557,11,35,16,legendary,0.36005,0.99005,0.60505,56.0
5657,5657,11,35,16,legendary,0.36005,0.99005,0.60505,57.0
5757,5757,11,35,16,legendary,0.36005,0.99005,0.60505,58.0
5857,5857,11,35,16,legendary,0.36005,0.99005,0.60505,59.0
5957,5957,11,35,16,legendary,0.36005,0.99005,0.60505,60.0
6057,6057,11,35,16,legendary,0.36005,0.99005,0.60505,61.0
6157,6157,11,35,16,legendary,0.36005,0.99005,0.60505,62.0
6257,6257,11,35,16,legendary,0.36005,0.99005,0.60505,63.0
6357,6357,11,35,16,legendary,0.36005,0.99005,0.60505,64.0
6457,6457,11,35,16,legendary,0.36005,0.99005,0.60505,65.0
6557,6557,11,35,16,legendary,0.36005,0.99005,0.60505,66.0
6657,6657,11,35,16,legendary,0.36005,0.99005,0.60505,67.0
6757,6757,11,35,16,legendary,0.36005,0.99005,0.60505,68.0
6857,6857,11,35,16,legendary,0.36005,0.99005,0.60505,69.0
6957,6957,11,35,16,legendary,0.36005,0.99005,0.60505,70.0
7057,7057,11,35,16,legendary,0.36005,0.99005,0.60505,71.0
7157,7157,11,35,16,legendary,0.36005,0.99005,0.60505,72.0
7257,7257,11,35,16,legendary,0.36005,0.99005,0.60505,73.0
7357,7357,11,35,16,legendary,0.36005,0.99005,0.60505,74.0
7457,7457,11,35,16,legendary,0.36005,0.99005,0.60505,75.0
7557,7557,11,35,16,legendary,0.36005,0.99005,0.60505,76.0
7657,7657,11,35,16,legendary,0.36005,0.99005,0.60505,77.0
7757,7757,11,35,16,legendary,0.36005,0.99005,0.60505,78.0
7857,7857,11,35,16,legendary,0.36005,0.99005,0.60505,79.0
7957,7957,11,35,16,legendary,0.36005,0.99005,0.60505,80.0
8057,8057,11,35,16,legendary,0.36005,0.99005,0.60505,81.0
8157,8157,11,35,16,legendary,0.36005,0.99005,0.60505,82.0
8257,8257,11,35,16,legendary,0.36005,0.99005,0.60505,83.0
8357,8357,11,35,16,legendary,0.36005,0.99005,0.60505,84.0
8457,8457,11,35,16,legendary,0.36005,0.99005,0.60505,85.0
8557,8557,11,35,16,legendary,0.36005,0.99005,0.60505,86.0
8657,8657,11,35,16,legendary,0.36005,0.99005,0.60505,87.0
8757,8757,11,35,16,legendary,0.36005,0.99005,0.60505,88.0
8857,8857,11,35,16,legendary,0.36005,0.99005,0.60505,89.0
8957,8957,11,35,16,legendary,0.36005,0.99005,0.60505,90.0
9057,9057,11,35,16,legendary,0.36005,0.99005,0.60505,91.0
9157,9157,11,35,16,legendary,0.36005,0.99005,0.60505,92.0
9257,9257,11,35,16,legendary,0.36005,0.99005,0.60505,93.0
9357,9357,11,35,16,legendary,0.36005,0.99005,0.60505,94.0
9457,9457,11,35,16,legendary,0.36005,0.99005,0.60505,95.0
9557,9557,11,35,16,legendary,0.36005,0.99005,0.60505,96.0
9657,9657,11,35,16,legendary,0.36005,0.99005,0.60505,97.0
9757,9757,11,35,16,legendary,0.36005,0.99005,0.60505,98.0
9857,9857,11,35,16,legendary,0.36005,0.99005,0.60505,99.0
9957,9957,11,35,16,legendary,0.36005,0.99005,0.60505,100.0
56,56,11,34,16,rare,0.36005,0.97505,0.60505,101.0
156,156,11,34,16,rare,0.36005,0.97505,0.60505,102.0
256,256,11,34,16,rare,0.36005,0.97505,0.60505,103.0
356,356,11,34,16,rare,0.36005,0.97505,0.60505,104.0
456,456,11,34,16,rare,0.36005,0.97505,0.60505,105.0
556,556,11,34,16,rare,0.36005,0.97505,0.60505,106.0
656,656,11,34,16,rare,0.36005,0.97505,0.60505,107.0
756,756,11,34,16,rare,0.36005,0.97505,0.60505,108.0
856,856,11,34,16,rare,0.36005,0.97505,0.60505,109.0
956,956,11,34,16,rare,0.36005,0.97505,0.60505,110.0
1056,1056,11,34,16,rare,0.36005,0.97505,0.60505,111.0
1156,1156,11,34,16,rare,0.36005,0.97505,0.60505,112.0
1256,1256,11,34,16,rare,0.36005,0.97505,0.60505,113.0
1356,1356,11,34,16,rare,0.36005,0.97505,0.60505,114.0
1456,1456,11,34,16,rare,0.36005,0.97505,0.60505,115.0
1556,1556,11,34,16,rare,0.36005,0.97505,0.60505,116.0
1656,1656,11,34,16,rare,0.36005,0.97505,0.60505,117.0
1756,1756,11,34,16,rare,0.36005,0.97505,0.60505,118.0
1856,1856,11,34,16,rare,0.36005,0.97505,0.60505,119.0
1956,1956,11,34,16,rare,0.36005,0.97505,0.60505,120.0
2056,2056,11,34,16,rare,0.36005,0.97505,0.60505,121.0
2156,2156,11,34,16,rare,0.36005,0.97505,0.60505,122.0
2256,2256,11,34,16,rare,0.36005,0.97505,0.60505,123.0
2356,2356,11,34,16,rare,0.36005,0.97505,0.60505,124.0
2456,2456,11,34,16,rare,0.36005,0.97505,0.60505,125.0
2556,2556,11,34,16,rare,0.36005,0.97505,0.60505,126.0
2656,2656,11,34,16,rare,0.36005,0.97505,0.60505,127.0
2756,2756,11,34,16,rare,0.36005,0.97505,0.60505,128.0
2856,2856,11,34,16,rare,0.36005,0.97505,0.60505,129.0
2956,2956,11,34,16,rare,0.36005,0.97505,0.60505,130.0
3056,3056,11,34,16,rare,0.36005,0.97505,0.60505,131.0
3156,3156,11,34,16,rare,0.36005,0.97505,0.60505,132.0
3256,3256,11,34,16,rare,0.36005,0.97505,0.60505,133.0
3356,3356,11,34,16,rare,0.36005,0.97505,0.60505,134.0
3456,3456,11,34,16,rare,0.36005,0.97505,0.60505,135.0
3556,3556,11,34,16,rare,0.36005,0.97505,0.60505,136.0
3656,3656,11,34,16,rare,0.36005,0.97505,0.60505,137.0
3756,3756,11,34,16,rare,0.36005,0.97505,0.60505,138.0
3856,3856,11,34,16,rare,0.36005,0.97505,0.60505,139.0
3956,3956,11,34,16,rare,0.36005,0.97505,0.60505,140.0
4056,4056,11,34,16,rare,0.36005,0.97505,0.60505,141.0
4156,4156,11,34,16,rare,0.36005,0.97505,0.60505,142.0
4256,4256,11,34,16,rare,0.36005,0.97505,0.60505,143.0
4356,4356,11,34,16,rare,0.36005,0.97505,0.60505,144.0
4456,4456,11,34,16,rare,0.36005,0.97505,0.60505,145.0
4556,4556,11,34,16,rare,0.36005,0.97505,0.60505,146.0
4656,4656,11,34,16,rare,0.36005,0.97505,0.60505,147.0
4756,4756,11,34,16,rare,0.36005,0.97505,0.60505,148.0
4856,4856,11,34,16,rare,0.36005,0.97505,0.60505,149.0
4956,4956,11,34,16,rare,0.36005,0.97505,0.60505,150.0
5056,5056,11,34,16,rare,0.36005,0.97505,0.60505,151.0
5156,5156,11,34,16,rare,0.36005,0.97505,0.60505,152.0
5256,5256,11,34,16,rare,0.36005,0.97505,0.60505,153.0
5356,5356,11,34,16,rare,0.36005,0.97505,0.60505,154.0
5456,5456,11,34,16,rare,0.36005,0.97505,0.60505,155.0
5556,5556,11,34,16,rare,0.36005,0.97505,0.60505,156.0
5656,5656,11,34,16,rare,0.36005,0.97505,0.60505,157.0
5756,5756,11,34,16,rare,0.36005,0.97505,0.60505,158.0
5856,5856,11,34,16,rare,0.36005,0.97505,0.60505,159.0
5956,5956,11,34,16,rare,0.36005,0.97505,0.60505,160.0
6056,6056,11,34,16,rare,0.36005,0.97505,0.60505,161.0
6156,6156,11,34,16,rare,0.36005,0.97505,0.60505,162.0
6256,6256,11,34,16,rare,0.36005,0.97505,0.60505,163.0
6356,6356,11,34,16,rare,0.36005,0.97505,0.60505,164.0
6456,6456,11,34,16,rare,0.36005,0.97505,0.60505,165.0
6556,6556,11,34,16,rare,0.36005,0.97505,0.60505,166.0
6656,6656,11,34,16,rare,0.36005,0.97505,0.60505,167.0
6756,6756,11,34,16,rare,0.36005,0.97505,0.60505,168.0
6856,6856,11,34,16,rare,0.36005,0.97505,0.60505,169.0
6956,6956,11,34,16,rare,0.36005,0.97505,0.60505,170.0
7056,7056,11,34,16,rare,0.36005,0.97505,0.60505,171.0
7156,7156,11,34,16,rare,0.36005,0.97505,0.60505,172.0
7256,7256,11,34,16,rare,0.36005,0.97505,0.60505,173.0
7356,7356,11,34,16,rare,0.36005,0.97505,0.60505,174.0
7456,7456,11,34,16,rare,0.36005,0.97505,0.60505,175.0
7556,7556,11,34,16,rare,0.36005,0.97505,0.60505,176.0
7656,7656,11,34,16,rare,0.36005,0.97505,0.60505,177.0
7756,7756,11,34,16,rare,0.36005,0.97505,0.60505,178.0
7856,7856,11,34,16,rare,0.36005,0.97505,0.60505,179.0
7956,7956,11,34,16,rare,0.36005,0.97505,0.60505,180.0
8056,8056,11,34,16,rare,0.36005,0.97505,0.60505,181.0
8156,8156,11,34,16,rare,0.36005,0.97505,0.60505,182.0
8256,8256,11,34,16,rare,0.36005,0.97505,0.60505,183.0
8356,8356,11,34,16,rare,0.36005,0.97505,0.60505,184.0
8456,8456,11,34,16,rare,0.36005,0.97505,0.60505,185.0
8556,8556,11,34,16,rare,0.36005,0.97505,0.60505,186.0
8656,8656,11,34,16,rare,0.36005,0.97505,0.60505,187.0
8756,8756,11,34,16,rare,0.36005,0.97505,0.60505,188.0
8856,8856,11,34,16,rare,0.36005,0.97505,0.60505,189.0
8956,8956,11,34,16,rare,0.36005,0.97505,0.60505,190.0
9056,9056,11,34,16,rare,0.36005,0.97505,0.60505,191.0
9156,9156,11,34,16,rare,0.36005,0.97505,0.60505,192.0
9256,9256,11,34,16,rare,0.36005,0.97505,0.60505,193.0
9356,9356,11,34,16,rare,0.36005,0.97505,0.60505,194.0
9456,9456,11,34,16,rare,0.36005,0.97505,0.60505,195.0
9556,9556,11,34,16,rare,0.36005,0.97505,0.60505,196.0
9656,9656,11,34,16,rare,0.36005,0.97505,0.60505,197.0
9756,9756,11,34,16,rare,0.36005,0.97505,0.60505,198.0
9856,9856,11,34,16,rare,0.36005,0.97505,0.60505,199.0
9956,9956,11,34,16,rare,0.36005,0.97505,0.60505,200.0
55,55,11,33,16,rare,0.36005,0.96505,0.60505,201.0
155,155,11,33,16,rare,0.36005,0.96505,0.60505,202.0
255,255,11,33,16,rare,0.36005,0.96505,0.60505,203.0
355,355,11,33,16,rare,0.36005,0.96505,0.60505,204.0
455,455,11,33,16,rare,0.36005,0.96505,0.60505,205.0
555,555,11,33,16,rare,0.36005,0.96505,0.60505,206.0
655,655,11,33,16,rare,0.36005,0.96505,0.60505,207.0
755,755,11,33,16,rare,0.36005,0.96505,0.60505,208.0
855,855,11,33,16,rare,0.36005,0.96505,0.60505,209.0
955,955,11,33,16,rare,0.36005,0.96505,0.60505,210.0
1055,1055,11,33,16,rare,0.36005,0.96505,0.60505,211.0
1155,1155,11,33,16,rare,0.36005,0.96505,0.60505,212.0
1255,1255,11,33,16,rare,0.36005,0.96505,0.60505,213.0
1355,1355,11,33,16,rare,0.36005,0.96505,0.60505,214.0
1455,1455,11,33,16,rare,0.36005,0.96505,0.60505,215.0
1555,1555,11,33,16,rare,0.36005,0.96505,0.60505,216.0
1655,1655,11,33,16,rare,0.36005,0.96505,0.60505,217.0
1755,1755,11,33,16,rare,0.36005,0.96505,0.60505,218.0
1855,1855,11,33,16,rare,0.36005,0.96505,0.60505,219.0
1955,1955,11,33,16,rare,0.36005,0.96505,0.60505,220.0
2055,2055,11,33,16,rare,0.36005,0.96505,0.60505,221.0
2155,2155,11,33,16,rare,0.36005,0.96505,0.60505,222.0
2255,2255,11,33,16,rare,0.36005,0.96505,0.60505,223.0
2355,2355,11,33,16,rare,0.36005,0.96505,0.60505,224.0
2455,2455,11,33,16,rare,0.36005,0.96505,0.60505,225.0
2555,2555,11,33,16,rare,0.36005,0.96505,0.60505,226.0
2655,2655,11,33,16,rare,0.36005,0.96505,0.60505,227.0
2755,2755,11,33,16,rare,0.36005,0.96505,0.60505,228.0
2855,2855,11,33,16,rare,0.36005,0.96505,0.60505,229.0
2955,2955,11,33,16,rare,0.36005,0.96505,0.60505,230.0
3055,3055,11,33,16,rare,0.36005,0.96505,0.60505,231.0
3155,3155,11,33,16,rare,0.36005,0.96505,0.60505,232.0
3255,3255,11,33,16,rare,0.36005,0.96505,0.60505,233.0
3355,3355,11,33,16,rare,0.36005,0.96505,0.60505,234.0
3455,3455,11,33,16,rare,0.36005,0.96505,0.60505,235.0
3555,3555,11,33,16,rare,0.36005,0.96505,0.60505,236.0
3655,3655,11,33,16,rare,0.36005,0.96505,0.60505,237.0
3755,3755,11,33,16,rare,0.36005,0.96505,0.60505,238.0
3855,3855,11,33,16,rare,0.36005,0.96505,0.60505,239.0
3955,3955,11,33,16,rare,0.36005,0.96505,0.60505,240.0
4055,4055,11,33,16,rare,0.36005,0.96505,0.60505,241.0
4155,4155,11,33,16,rare,0.36005,0.96505,0.60505,242.0
4255,4255,11,33,16,rare,0.36005,0.96505,0.60505,243.0
4355,4355,11,33,16,rare,0.36005,0.96505,0.60505,244.0
4455,4455,11,33,16,rare,0.36005,0.96505,0.60505,245.0
4555,4555,11,33,16,rare,0.36005,0.96505,0.60505,246.0
4655,4655,11,33,16,rare,0.36005,0.96505,0.60505,247.0
4755,4755,11,33,16,rare,0.36005,0.96505,0.60505,248.0
4855,4855,11,33,16,rare,0.36005,0.96505,0.60505,249.0
4955,4955,11,33,16,rare,0.36005,0.96505,0.60505,250.0
5055,5055,11,33,16,rare,0.36005,0.96505,0.60505,251.0
5155,5155,11,33,16,rare,0.36005,0.96505,0.60505,252.0
5255,5255,11,33,16,rare,0.36005,0.96505,0.60505,253.0
5355,5355,11,33,16,rare,0.36005,0.96505,0.60505,254.0
5455,5455,11,33,16,rare,0.36005,0.96505,0.60505,255.0
5555,5555,11,33,16,rare,0.36005,0.96505,0.60505,256.0
5655,5655,11,33,16,rare,0.36005,0.96505,0.60505,257.0
5755,5755,11,33,16,rare,0.36005,0.96505,0.60505,258.0
5855,5855,11,33,16,rare,0.36005,0.96505,0.60505,259.0
5955,5955,11,33,16,rare,0.36005,0.96505,0.60505,260.0
6055,6055,11,33,16,rare,0.36005,0.96505,0.60505,261.0
6155,6155,11,33,16,rare,0.36005,0.96505,0.60505,262.0
6255,6255,11,33,16,rare,0.36005,0.96505,0.60505,263.0
6355,6355,11,33,16,rare,0.36005,0.96505,0.60505,264.0
6455,6455,11,33,16,rare,0.36005,0.96505,0.60505,265.0
6555,6555,11,33,16,rare,0.36005,0.96505,0.60505,266.0
6655,6655,11,33,16,rare,0.36005,0.96505,0.60505,267.0
6755,6755,11,33,16,rare,0.36005,0.96505,0.60505,268.0
6855,6855,11,33,16,rare,0.36005,0.96505,0.60505,269.0
6955,6955,11,33,16,rare,0.36005,0.96505,0.60505,270.0
7055,7055,11,33,16,rare,0.36005,0.96505,0.60505,271.0
7155,7155,11,33,16,rare,0.36005,0.96505,0.60505,272.0
7255,7255,11,33,16,rare,0.36005,0.96505,0.60505,273.0
7355,7355,11,33,16,rare,0.36005,0.96505,0.60505,274.0
7455,7455,11,33,16,rare,0.36005,0.96505,0.60505,275.0
7555,7555,11,33,16,rare,0.36005,0.96505,0.60505,276.0
7655,7655,11,33,16,rare,0.36005,0.96505,0.60505,277.0
7755,7755,11,33,16,rare,0.36005,0.96505,0.60505,278.0
7855,7855,11,33,16,rare,0.36005,0.96505,0.60505,279.0
7955,7955,11,33,16,rare,0.36005,0.96505,0.60505,280.0
8055,8055,11,33,16,rare,0.36005,0.96505,0.60505,281.0
8155,8155,11,33,16,rare,0.36005,0.96505,0.60505,282.0
8255,8255,11,33,16,rare,0.36005,0.96505,0.60505,283.0
8355,8355,11,33,16,rare,0.36005,0.96505,0.60505,284.0
8455,8455,11,33,16,rare,0.36005,0.96505,0.60505,285.0
8555,8555,11,33,16,rare,0.36005,0.96505,0.60505,286.0
8655,8655,11,33,16,rare,0.36005,0.96505,0.60505,287.0
8755,8755,11,33,16,rare,0.36005,0.96505,0.60505,288.0
8855,8855,11,33,16,rare,0.36005,0.96505,0.60505,289.0
8955,8955,11,33,16,rare,0.36005,0.96505,0.60505,290.0
9055,9055,11,33,16,rare,0.36005,0.96505,0.60505,291.0
9155,9155,11,33,16,rare,0.36005,0.96505,0.60505,292.0
9255,9255,11,33,16,rare,0.36005,0.96505,0.60505,293.0
9355,9355,11,33,16,rare,0.36005,0.96505,0.60505,294.0
9455,9455,11,33,16,rare,0.36005,0.96505,0.60505,295.0
9555,9555,11,33,16,rare,0.36005,0.96505,0.60505,296.0
9655,9655,11,33,16,rare,0.36005,0.96505,0.60505,297.0
9755,9755,11,33,16,rare,0.36005,0.96505,0.60505,298.0
9855,9855,11,33,16,rare,0.36005,0.96505,0.60505,299.0
9955,9955,11,33,16,rare,0.36005,0.96505,0.60505,300.0
54,54,11,32,16,rare,0.36005,0.95505,0.60505,301.0
154,154,11,32,16,rare,0.36005,0.95505,0.60505,302.0
254,254,11,32,16,rare,0.36005,0.95505,0.60505,303.0
354,354,11,32,16,rare,0.36005,0.95505,0.60505,304.0
454,454,11,32,16,rare,0.36005,0.95505,0.60505,305.0
554,554,11,32,16,rare,0.36005,0.95505,0.60505,306.0
654,654,11,32,16,rare,0.36005,0.95505,0.60505,307.0
754,754,11,32,16,rare,0.36005,0.95505,0.60505,308.0
854,854,11,32,16,rare,0.36005,0.95505,0.60505,309.0
954,954,11,32,16,rare,0.36005,0.95505,0.60505,310.0
1054,1054,11,32,16,rare,0.36005,0.95505,0.60505,311.0
1154,1154,11,32,16,rare,0.36005,0.95505,0.60505,312.0
1254,1254,11,32,16,rare,0.36005,0.95505,0.60505,313.0
1354,1354,11,32,16,rare,0.36005,0.95505,0.60505,314.0
1454,1454,11,32,16,rare,0.36005,0.95505,0.60505,315.0
1554,1554,11,32,16,rare,0.36005,0.95505,0.60505,316.0
1654,1654,11,32,16,rare,0.36005,0.95505,0.60505,317.0
1754,1754,11,32,16,rare,0.36005,0.95505,0.60505,318.0
1854,1854,11,32,16,rare,0.36005,0.95505,0.60505,319.0
1954,1954,11,32,16,rare,0.36005,0.95505,0.60505,320.0
2054,2054,11,32,16,rare,0.36005,0.95505,0.60505,321.0
2154,2154,11,32,16,rare,0.36005,0.95505,0.60505,322.0
2254,2254,11,32,16,rare,0.36005,0.95505,0.60505,323.0
2354,2354,11,32,16,rare,0.36005,0.95505,0.60505,324.0
2454,2454,11,32,16,rare,0.36005,0.95505,0.60505,325.0
2554,2554,11,32,16,rare,0.36005,0.95505,0.60505,326.0
2654,2654,11,32,16,rare,0.36005,0.95505,0.60505,327.0
2754,2754,11,32,16,rare,0.36005,0.95505,0.60505,328.0
2854,2854,11,32,16,rare,0.36005,0.95505,0.60505,329.0
2954,2954,11,32,16,rare,0.36005,0.95505,0.60505,330.0
3054,3054,11,32,16,rare,0.36005,0.95505,0.60505,331.0
3154,3154,11,32,16,rare,0.36005,0.95505,0.60505,332.0
3254,3254,11,32,16,rare,0.36005,0.95505,0.60505,333.0
3354,3354,11,32,16,rare,0.36005,0.95505,0.60505,334.0
3454,3454,11,32,16,rare,0.36005,0.95505,0.60505,335.0
3554,3554,11,32,16,rare,0.36005,0.95505,0.60505,336.0
3654,3654,11,32,16,rare,0.36005,0.95505,0.60505,337.0
3754,3754,11,32,16,rare,0.36005,0.95505,0.60505,338.0
3854,3854,11,32,16,rare,0.36005,0.95505,0.60505,339.0
3954,3954,11,32,16,rare,0.36005,0.95505,0.60505,340.0
4054,4054,11,32,16,rare,0.36005,0.95505,0.60505,341.0
4154,4154,11,32,16,rare,0.36005,0.95505,0.60505,342.0
4254,4254,11,32,16,rare,0.36005,0.95505,0.60505,343.0
4354,4354,11,32,16,rare,0.36005,0.95505,0.60505,344.0
4454,4454,11,32,16,rare,0.36005,0.95505,0.60505,345.0
4554,4554,11,32,16,rare,0.36005,0.95505,0.60505,346.0
4654,4654,11,32,16,rare,0.36005,0.95505,0.60505,347.0
4754,4754,11,32,16,rare,0.36005,0.95505,0.60505,348.0
4854,4854,11,32,16,rare,0.36005,0.95505,0.60505,349.0
4954,4954,11,32,16,rare,0.36005,0.95505,0.60505,350.0
5054,5054,11,32,16,rare,0.36005,0.95505,0.60505,351.0
5154,5154,11,32,16,rare,0.36005,0.95505,0.60505,352.0
5254,5254,11,32,16,rare,0.36005,0.95505,0.60505,353.0
5354,5354,11,32,16,rare,0.36005,0.95505,0.60505,354.0
5454,5454,11,32,16,rare,0.36005,0.95505,0.60505,355.0
5554,5554,11,32,16,rare,0.36005,0.95505,0.60505,356.0
5654,5654,11,32,16,rare,0.36005,0.95505,0.60505,357.0
5754,5754,11,32,16,rare,0.36005,0.95505,0.60505,358.0
5854,5854,11,32,16,rare,0.36005,0.95505,0.60505,359.0
5954,5954,11,32,16,rare,0.36005,0.95505,0.60505,360.0
6054,6054,11,32,16,rare,0.36005,0.95505,0.60505,361.0
6154,6154,11,32,16,rare,0.36005,0.95505,0.60505,362.0
6254,6254,11,32,16,rare,0.36005,0.95505,0.60505,363.0
6354,6354,11,32,16,rare,0.36005,0.95505,0.60505,364.0
6454,6454,11,32,16,rare,0.36005,0.95505,0.60505,365.0
6554,6554,11,32,16,rare,0.36005,0.95505,0.60505,366.0
6654,6654,11,32,16,rare,0.36005,0.95505,0.60505,367.0
6754,6754,11,32,16,rare,0.36005,0.95505,0.60505,368.0
6854,6854,11,32,16,rare,0.36005,0.95505,0.60505,369.0
6954,6954,11,32,16,rare,0.36005,0.95505,0.60505,370.0
7054,7054,11,32,16,rare,0.36005,0.95505,0.60505,371.0
7154,7154,11,32,16,rare,0.36005,0.95505,0.60505,372.0
7254,7254,11,32,16,rare,0.36005,0.95505,0.60505,373.0
7354,7354,11,32,16,rare,0.36005,0.95505,0.60505,374.0
7454,7454,11,32,16,rare,0.36005,0.95505,0.60505,375.0
7554,7554,11,32,16,rare,0.36005,0.95505,0.60505,376.0
7654,7654,11,32,16,rare,0.36005,0.95505,0.60505,377.0
7754,7754,11,32,16,rare,0.36005,0.95505,0.60505,378.0
7854,7854,11,32,16,rare,0.36005,0.95505,0.60505,379.0
7954,7954,11,32,16,rare,0.36005,0.95505,0.60505,380.0
8054,8054,11,32,16,rare,0.36005,0.95505,0.60505,381.0
8154,8154,11,32,16,rare,0.36005,0.95505,0.60505,382.0
8254,8254,11,32,16,rare,0.36005,0.95505,0.60505,383.0
8354,8354,11,32,16,rare,0.36005,0.95505,0.60505,384.0
8454,8454,11,32,16,rare,0.36005,0.95505,0.60505,385.0
8554,8554,11,32,16,rare,0.36005,0.95505,0.60505,386.0
8654,8654,11,32,16,rare,0.36005,0.95505,0.60505,387.0
8754,8754,11,32,16,rare,0.36005,0.95505,0.60505,388.0
8854,8854,11,32,16,rare,0.36005,0.95505,0.60505,389.0
8954,8954,11,32,16,rare,0.36005,0.95505,0.60505,390.0
9054,9054,11,32,16,rare,0.36005,0.95505,0.60505,391.0
9154,9154,11,32,16,rare,0.36005,0.95505,0.60505,392.0
9254,9254,11,32,16,rare,0.36005,0.95505,0.60505,393.0
9354,9354,11,32,16,rare,0.36005,0.95505,0.60505,394.0
9454,9454,11,32,16,rare,0.36005,0.95505,0.60505,395.0
9554,9554,11,32,16,rare,0.36005,0.95505,0.60505,396.0
9654,9654,11,32,16,rare,0.36005,0.95505,0.60505,397.0
9754,9754,11,32,16,rare,0.36005,0.95505,0.60505,398.0
9854,9854,11,32,16,rare,0.36005,0.95505,0.60505,399.0
9954,9954,11,32,16,rare,0.36005,0.95505,0.60505,400.0
53,53,11,31,16,rare,0.36005,0.94505,0.60505,401.0
153,153,11,31,16,rare,0.36005,0.94505,0.60505,402.0
253,253,11,31,16,rare,0.36005,0.94505,0.60505,403.0
353,353,11,31,16,rare,0.36005,0.94505,0.60505,404.0
453,453,11,31,16,rare,0.36005,0.94505,0.60505,405.0
553,553,11,31,16,rare,0.36005,0.94505,0.60505,406.0
653,653,11,31,16,rare,0.36005,0.94505,0.60505,407.0
753,753,11,31,16,rare,0.36005,0.94505,0.60505,408.0
853,853,11,31,16,rare,0.36005,0.94505,0.60505,409.0
